,Município [-],PIB per capita - R$ [2021],População no último censo - pessoas [2022]
181,Claro dos Poções,11196.9,7166
182,Cláudio,38451.85,30159
183,Coimbra,18325.94,7117
184,Coluna,13756.65,8163
185,Comendador Gomes,49491.51,2773
186,Comercinho,10285.11,6660
187,Conceição da Aparecida,26487.93,10371
188,Conceição das Pedras,21692.56,2772
189,Conceição das Alagoas,45805.26,28381
190,Conceição de Ipanema,17685.15,4409
191,Conceição do Mato Dentro,519040.92,23163
192,Conceição do Pará,88902.87,5415
193,Conceição do Rio Verde,25025.75,12541
194,Conceição dos Ouros,18994.87,10880
195,Cônego Marinho,8212.18,7237
196,Confins,70734.21,7350
197,Congonhal,18053.14,11083
198,Congonhas,73709.5,52890
199,Congonhas do Norte,9768.27,4831
200,Conquista,70049.61,6694
201,Conselheiro Lafaiete,23881.55,131621
202,Conselheiro Pena,16708.53,20824
203,Consolação,17609.85,1563
204,Contagem,54136.41,621863
205,Coqueiral,25735.37,9023
206,Coração de Jesus,10251.33,25377
207,Cordisburgo,16419.95,7547
208,Cordislândia,32084.04,3200
209,Corinto,25937.03,23532
210,Coroaci,12690.02,10884
211,Coromandel,54911.1,28894
212,Coronel Fabriciano,18029.42,104736
213,Coronel Murta,13016.09,8200
214,Coronel Pacheco,19419.15,2762
215,Coronel Xavier Chaves,26367.67,3486
216,Córrego Danta,52273.69,2960
217,Córrego do Bom Jesus,12384.73,4272
218,Córrego Fundo,49904.63,6133
219,Córrego Novo,14332.74,2875
220,Couto de Magalhães de Minas,14262.94,4245
221,Crisólita,11215.05,5265
222,Cristais,22628.65,12197
223,Cristália,9875.05,5121
224,Cristiano Otoni,23967.13,4667
225,Cristina,22906.28,10374
226,Crucilândia,16383.73,5434
227,Cruzeiro da Fortaleza,50408.9,3521
228,Cruzília,20461.59,15362
229,Cuparaque,14734.12,3983
230,Curral de Dentro,10226.6,7406
231,Curvelo,27509.61,80665
232,Datas,13618.93,5465
233,Delfim Moreira,15700.68,7952
234,Delfinópolis,34599.14,8393
235,Delta,42456.49,10494
236,Descoberto,16206.3,4928
237,Desterro de Entre Rios,35948.85,7653
238,Desterro do Melo,17657.89,2994
239,Diamantina,20537.92,47702
240,Diogo de Vasconcelos,11363.34,3549
241,Dionísio,12128.99,6847
242,Divinésia,18575.93,4226
243,Divino,15957.14,20706
244,Divino das Laranjeiras,12416.03,4178
245,Divinolândia de Minas,10750.55,6516
246,Divinópolis,34355.36,231091
247,Divisa Alegre,25656.27,6321
248,Divisa Nova,21452.98,5851
249,Divisópolis,8178.51,10213
250,Dom Bosco,19065.15,3697
251,Dom Cavati,13860.37,4904
252,Dom Joaquim,15289.15,4899
253,Dom Silvério,20648.91,5228
254,Dom Viçoso,13052.06,3095
255,Dona Euzébia,16492.38,6093
256,Dores de Campos,31116.02,10007
257,Dores de Guanhães,37105.01,5029
258,Dores do Indaiá,26339.03,12630
259,Dores do Turvo,15908.49,4987
260,Doresópolis,54667.85,1461
261,Douradoquara,41427.06,1829
262,Durandé,15560.07,7817
263,Elói Mendes,24720.9,26336
264,Engenheiro Caldas,13936.2,13622
265,Engenheiro Navarro,12715.66,6354
266,Entre Folhas,12061.39,5179
267,Entre Rios de Minas,17481.31,14746
268,Ervália,21529.87,20255
269,Esmeraldas,13419.92,85598
270,Espera Feliz,16254.21,24102
271,Espinosa,11517.31,30443
272,Espírito Santo do Dourado,25854.33,6611
273,Estiva,52723.75,11502
274,Estrela Dalva,18586.66,2186
275,Estrela do Indaiá,47456.81,2772
276,Estrela do Sul,43679.34,6840
277,Eugenópolis,19487.85,10801
278,Ewbank da Câmara,13825.96,3875
279,Extrema,362591.97,53482
280,Fama,24698.85,2578
281,Faria Lemos,20105.49,3188
282,Felício dos Santos,15837.34,5133
283,São Gonçalo do Rio Preto,15341.2,3032
284,Felisburgo,10030.05,6489
285,Felixlândia,18106.34,13978
286,Fernandes Tourinho,13101.7,2789
287,Ferros,15447.38,9590
288,Fervedouro,14134.11,10445
289,Florestal,18785.7,8045
290,Formiga,32581.52,68248
291,Formoso,32101.59,7949
292,Fortaleza de Minas,24956.6,3477
293,Fortuna de Minas,17170.82,3093
294,Francisco Badaró,7546.65,7366
295,Francisco Dumont,14352.6,4503
296,Francisco Sá,17077.75,23476
297,Franciscópolis,19449.13,5034
298,Frei Gaspar,13674.68,5640
299,Frei Inocêncio,15488.87,8226
300,Frei Lagonegro,10171.36,3391
301,Fronteira,49568.1,14540
302,Fronteira dos Vales,10777.9,4345
303,Fruta de Leite,8999.57,4647
304,Frutal,40872.58,58588
305,Funilândia,18794.03,4686
306,Galiléia,16814.67,6222
307,Gameleiras,11278.35,4793
308,Glaucilândia,12945.77,2928
309,Goiabeira,14670.26,2830
310,Goianá,15513.28,4053
311,Gonçalves,21624.99,4727
312,Gonzaga,11153.48,5230
313,Gouveia,16842.21,11331
314,Governador Valadares,26165.06,257171
315,Grão Mogol,48352.82,13901
316,Grupiara,31890.41,1392
317,Guanhães,28633.61,32244
318,Guapé,27386.89,13772
319,Guaraciaba,11179.62,9753
320,Guaraciama,15589.72,5051
321,Guaranésia,28891.14,19150
322,Guarani,19461.62,7714
323,Guarará,15349.17,3149
324,Guarda-Mor,114474.42,6539
325,Guaxupé,53726.8,50911
326,Guidoval,17600.19,7131
327,Guimarânia,40063.15,8478
328,Guiricema,13793.57,7778
329,Gurinhatã,32779.01,5192
330,Heliodora,20150.08,6134
331,Iapu,15915.1,12030
332,Ibertioga,20716.39,5198
333,Ibiá,60160.3,22229
334,Ibiaí,13560.18,6286
335,Ibiracatu,9600.19,5081
336,Ibiraci,51550.46,10948
337,Ibirité,17407.52,170537
338,Ibitiúra de Minas,22201.2,3365
339,Ibituruna,19766.09,2698
340,Icaraí de Minas,9134.97,10677
341,Igarapé,21707.59,45847
342,Igaratinga,51874.24,10830
343,Iguatama,74348.83,6826
344,Ijaci,74228.52,7003
345,Ilicínea,21212.04,12741
346,Imbé de Minas,14503.11,6986
347,Inconfidentes,17947.26,7301
348,Indaiabira,11914.84,6346
349,Indianópolis,124934.02,6171
350,Ingaí,41544.77,2580
351,Inhapim,16852.46,22692
352,Inhaúma,22951.75,6239
353,Inimutaba,11931.24,7371
354,Ipaba,9527.36,17136
355,Ipanema,17115.04,19522
356,Ipatinga,65869.82,227731
357,Ipiaçu,43292.43,3775
358,Ipuiúna,18563.37,9135
359,Iraí de Minas,42670.29,7180
360,Itabira,123006.06,113343
361,Itabirinha,11723.25,10362
362,Itabirito,247940.0,53365
363,Itacambira,11331.15,4252
364,Itacarambi,12454.64,17208
365,Itaguara,29790.11,13846
366,Itaipé,9419.18,10463
367,Itajubá,33630.33,93073
368,Itamarandiba,18431.8,32948
369,Itamarati de Minas,15321.0,3690
370,Itambacuri,14696.07,21042
371,Itambé do Mato Dentro,17678.0,2142
372,Itamogi,23351.61,10770
373,Itamonte,74613.56,14786
374,Itanhandu,30315.87,15236
375,Itanhomi,12341.6,11128
376,Itaobim,14701.65,19151
377,Itapagipe,33155.1,13690
378,Itapecerica,28915.19,21046
379,Itapeva,85067.72,12692
380,Itatiaiuçu,610779.65,12966
381,Itaú de Minas,44471.67,14406
382,Itaúna,53834.65,97669
383,Itaverava,13411.54,5642
384,Itinga,9849.06,13745
385,Itueta,20119.67,6055
386,Ituiutaba,35891.17,102217
387,Itumirim,15326.47,6638
388,Iturama,50309.34,38295
389,Itutinga,46016.16,4217
390,Jaboticatubas,14403.17,20406
391,Jacinto,10680.55,11042
392,Jacuí,19619.02,7495
393,Jacutinga,43106.68,25525
394,Jaguaraçu,34860.43,3092
395,Jaíba,21310.16,37660
396,Jampruca,15136.53,4296
397,Janaúba,22157.83,70699
398,Januária,12133.95,65150
399,Japaraíba,22937.4,4506
400,Japonvar,9688.75,8127
401,Jeceaba,407353.2,6197
402,Jenipapo de Minas,10214.67,6100
403,Jequeri,15840.35,12419
404,Jequitaí,17614.92,6484
405,Jequitibá,24253.55,5883
406,Jequitinhonha,10754.52,24007
407,Jesuânia,21827.32,5138
408,Joaíma,10509.42,13888
409,Joanésia,25154.48,4329
410,João Monlevade,59963.67,80187
411,João Pinheiro,44929.59,46801
412,Joaquim Felício,15206.06,3854
413,Jordânia,9857.64,10304
414,José Gonçalves de Minas,11565.81,3969
415,José Raydan,14172.89,4268
416,Josenópolis,11815.85,3630
417,Nova União,18734.56,5909
418,Juatuba,51653.48,30716
419,Juiz de Fora,35145.34,540756
420,Juramento,11839.64,3768
421,Juruaia,25392.25,11084
422,Juvenília,11502.41,5789
423,Ladainha,8063.14,14383
424,Lagamar,31961.94,6631
425,Lagoa da Prata,37310.73,51412
426,Lagoa dos Patos,14675.29,3313
427,Lagoa Dourada,26337.64,12769
428,Lagoa Formosa,31130.75,18904
429,Lagoa Grande,30214.48,8969
430,Lagoa Santa,32802.82,75145
431,Lajinha,20069.96,20835
432,Lambari,19293.34,20414
433,Lamim,15487.44,3184
434,Laranjal,13971.34,5963
435,Lassance,29649.11,7124
436,Lavras,27818.1,104761
437,Leandro Ferreira,17228.55,3199
438,Leme do Prado,13448.01,4341
439,Leopoldina,21124.06,51145
440,Liberdade,21553.54,4737
441,Lima Duarte,20279.44,17221
442,Limeira do Oeste,60582.62,8687
443,Lontra,9610.66,8790
444,Luisburgo,21249.6,6956
445,Luislândia,9721.43,6210
446,Luminárias,27448.05,5586
447,Luz,35908.88,17875
448,Machacalis,15811.47,6487
449,Machado,32188.05,37684
450,Madre de Deus de Minas,58993.52,5191
451,Malacacheta,12708.51,17516
452,Mamonas,9155.69,5997
453,Manga,13482.39,18886
454,Manhuaçu,35607.52,91886
455,Manhumirim,24613.19,20613
456,Mantena,17248.55,26535
457,Maravilhas,28738.33,7333
458,Mar de Espanha,17526.23,12721
459,Maria da Fé,14490.07,14247
460,Mariana,119155.4,61387
461,Marilac,14150.23,4224
462,Mário Campos,12520.55,15900
463,Maripá de Minas,24993.05,3387
464,Marliéria,14999.89,4592
465,Marmelópolis,15843.65,3200
466,Martinho Campos,35176.11,14003
467,Martins Soares,24963.05,8396
468,Mata Verde,10526.08,9112
469,Materlândia,13710.97,3963
470,Mateus Leme,34132.67,37841
471,Matias Barbosa,42951.23,14121
472,Matias Cardoso,13964.57,8895
473,Matipó,22270.48,18552
474,Mato Verde,12741.8,12038
475,Matozinhos,39152.41,37618
476,Matutina,26036.56,3814
477,Medeiros,64058.5,3900
478,Medina,12224.08,20156
479,Mendes Pimentel,12006.86,5606
480,Mercês,14085.21,10373
481,Mesquita,10833.03,5040
482,Minas Novas,11112.45,24405
483,Minduri,42093.45,3741
484,Mirabela,11941.74,13651
485,Miradouro,16084.86,8968
486,Miraí,21973.7,13633
487,Miravânia,9477.13,3985
488,Moeda,15529.83,5125
489,Moema,20110.03,7548
490,Monjolos,21433.52,2169
491,Monsenhor Paulo,26033.53,8340
492,Montalvânia,11313.56,14060
493,Monte Alegre de Minas,35500.1,20170
494,Monte Azul,12467.46,20328
495,Monte Belo,27847.63,13046
496,Monte Carmelo,32440.12,47692
497,Monte Formoso,8919.75,4381
498,Monte Santo de Minas,22477.33,20890
499,Montes Claros,25870.23,414240
500,Monte Sião,25011.26,24089
501,Montezuma,10868.92,6888
502,Morada Nova de Minas,60432.26,9067
503,Morro da Garça,21156.64,2411
504,Morro do Pilar,14113.38,3133
505,Munhoz,21570.92,7451
506,Muriaé,24137.53,104108
507,Mutum,18874.87,27635
508,Muzambinho,26091.09,21891
509,Nacip Raydan,11607.0,2459
510,Nanuque,19924.58,35038
511,Naque,12675.74,6303
512,Natalândia,22725.11,3520
513,Natércia,24403.15,4691
514,Nazareno,76794.68,8179
515,Nepomuceno,23008.04,25018
516,Ninheira,12205.08,10588
517,Nova Belém,27201.82,3151
518,Nova Era,24702.73,17438
519,Nova Lima,216092.4,111697
520,Nova Módica,16530.55,3663
521,Nova Ponte,69569.06,14598
522,Nova Porteirinha,15515.42,6706
523,Nova Resende,22770.81,16387
524,Nova Serrana,24352.06,105552
525,Novo Cruzeiro,10544.29,26975
526,Novo Oriente de Minas,11256.56,10275
527,Novorizonte,13167.03,4571
528,Olaria,18836.72,1945
529,Olhos-d'Água,33947.04,5385
530,Olímpio Noronha,15528.17,2555
531,Oliveira,26318.88,39262
532,Oliveira Fortes,19047.02,2027
533,Onça de Pitangui,20575.42,2969
534,Oratórios,15170.99,4917
535,Orizânia,14998.7,8437
536,Ouro Branco,219860.0,38724
537,Ouro Fino,27526.34,32094
538,Ouro Preto,127232.37,74821
539,Ouro Verde de Minas,11503.59,5757
540,Padre Carvalho,8999.72,5058
541,Padre Paraíso,10514.08,17334
542,Paineiras,18654.32,4224
543,Pains,63965.84,8142
544,Pai Pedro,9617.09,5551
545,Paiva,17996.58,1474
546,Palma,15693.82,5707
547,Palmópolis,12292.83,6301
548,Papagaios,23511.04,13920
549,Paracatu,76144.41,94023
550,Pará de Minas,42098.58,97139
551,Paraguaçu,29998.34,21723
552,Paraisópolis,27752.05,20445
553,Paraopeba,36955.29,24107
554,Passabém,14574.0,1600
555,Passa Quatro,28737.93,15515
556,Passa Tempo,59808.53,8473
557,Passa Vinte,20794.2,2233
558,Passos,26081.82,111939
559,Patis,9122.53,4837
560,Patos de Minas,39738.04,159235
561,Patrocínio,39932.3,89826
562,Patrocínio do Muriaé,20206.33,5576
563,Paula Cândido,14255.97,8659
564,Paulistas,14048.81,4389
565,Pavão,11093.87,8047
