,Município [-],PIB per capita - R$ [2021],População no último censo - pessoas [2022]
775,Senador Modestino Gonçalves,22733.52,4008
776,Senhora de Oliveira,14013.7,5483
777,Senhora do Porto,14157.59,3067
778,Senhora dos Remédios,11053.0,10384
779,Sericita,14303.08,7345
780,Seritinga,24357.44,1819
781,Serra Azul de Minas,10499.95,3792
782,Serra da Saudade,28392.42,833
783,Serra dos Aimorés,10433.7,6944
784,Serra do Salitre,83678.44,11801
785,Serrania,21083.52,7621
786,Serranópolis de Minas,9813.13,4399
787,Serranos,19785.54,1990
788,Serro,13982.29,21952
789,Sete Lagoas,51894.81,227397
790,Silveirânia,15505.21,2323
791,Silvianópolis,22619.95,6179
792,Simão Pereira,39707.08,2947
793,Simonésia,14383.71,19750
794,Sobrália,12303.29,5137
795,Soledade de Minas,13150.84,5613
796,Tabuleiro,17915.28,4014
797,Taiobeiras,16085.74,33050
798,Taparuba,15864.94,3387
799,Tapira,140948.55,4118
800,Tapiraí,29984.35,1690
801,Taquaraçu de Minas,16000.68,4224
802,Tarumirim,13189.15,14709
803,Teixeiras,16380.33,12255
804,Teófilo Otoni,20893.97,137418
805,Timóteo,61482.0,81579
806,Tiradentes,25209.23,7744
807,Tiros,59641.82,7883
808,Tocantins,20853.44,16185
809,Tocos do Moji,17177.37,3826
810,Toledo,16912.97,7214
811,Tombos,17047.93,8609
812,Três Corações,36734.42,75485
813,Três Marias,95324.95,28895
814,Três Pontas,32896.24,55255
815,Tumiritinga,12198.83,5886
816,Tupaciguara,37169.53,25470
817,Turmalina,21879.01,20000
818,Turvolândia,27420.97,4935
819,Ubá,30288.91,103365
820,Ubaí,9258.29,11708
821,Ubaporanga,13424.24,13017
822,Uberaba,59943.87,337836
823,Uberlândia,61038.02,713224
824,Umburatiba,17107.6,2684
825,Unaí,50544.26,86619
826,União de Minas,30580.0,3828
827,Uruana de Minas,29820.95,3282
828,Urucânia,23226.29,10600
829,Urucuia,11061.34,17479
830,Vargem Alegre,11970.81,5780
831,Vargem Bonita,40894.45,2158
832,Vargem Grande do Rio Pardo,13504.4,4633
833,Varginha,58817.87,136467
834,Varjão de Minas,43704.06,6969
835,Várzea da Palma,26623.1,33744
836,Varzelândia,9704.8,18840
837,Vazante,56478.26,19975
838,Verdelândia,12118.32,7672
839,Veredinha,23208.11,5181
840,Veríssimo,41671.0,3411
841,Vermelho Novo,13235.02,4899
842,Vespasiano,22909.06,129246
843,Viçosa,22673.74,76430
844,Vieiras,14974.51,3700
845,Mathias Lobato,13915.37,3038
846,Virgem da Lapa,9585.82,11804
847,Virgínia,20855.96,8908
848,Virginópolis,17587.98,10314
849,Virgolândia,11818.51,4552
850,Visconde do Rio Branco,31179.87,39160
851,Volta Grande,26633.91,4443
852,Wenceslau Braz,13011.59,2356
